,Sl.No.,State/UT,Literacy %,Unemployment,Sex Ratio,Greed,Loath,Love,Year,Region,Urbanization,NSDP per capita,Population Density,Homeless prop,Alcohol %,Below poverty line,Total Murders
57,22,Himachal Pradesh,86.5,5.5,1028.892006,31.25,35.15625,18.5546875,2017.0,N,0.10175584128300844,17.87681459975114,0.12991935049305767,0.5665698880132725,22.785676762432864,5.535432999999999,84.9609375
58,23,Jammu & Kashmir,70.0,5.3,1108.509608,8.771929824561402,57.64411027568922,4.385964912280701,2017.0,N,0.29154541277377855,5.025348445397458,0.08006622110491139,1.458646040741308,44.293743299271696,12.982634000000001,70.80200501253132
59,24,Manipur,80.5,11.6,1011.184211,0.0,77.41935483870968,16.129032258064516,2017.0,NE,0.310107948969578,16.75204448806019,0.13691942491154208,1.0507033038927052,30.752273472924553,10.562470999999999,93.54838709677419
60,25,Meghalaya,80.5,1.5,1007.585335,32.25806451612903,41.935483870967744,3.2258064516129035,2017.0,NE,0.2040302267002519,18.417191435768263,0.14160238976325293,0.39074307304785894,33.78268261956595,3.5228,77.41935483870968
61,26,Mizoram,91.0,10.1,1020.654045,0.0,25.806451612903228,12.903225806451614,2017.0,NE,0.5374787052810903,99.89097103918229,0.055689957781888906,0.13713798977853492,30.856814311328588,2.225262,38.70967741935484
62,27,Nagaland,82.5,21.4,1070.381232,2.506265664160401,5.639097744360902,1.2531328320802004,2017.0,NE,0.3810198300283286,31.545325779036826,0.12775197539055433,0.42776203966005666,55.62535410618521,3.7461710000000004,9.398496240601503
63,28,Sikkim,84.0,3.5,1120.12987,0.5656108597285068,3.3936651583710407,0.5656108597285068,2017.0,NE,0.38131699846860645,356.0229709035222,0.09202367531003382,0.4241960183767228,38.97197549742555,0.506354,4.524886877828054
64,29,Tripura,89.5,6.8,1037.823834,20.891364902506965,16.24883936861653,2.3212627669452184,2017.0,NE,0.3325705568268497,19.0744978387999,0.3750715239366775,0.8199847444698704,48.91566234444189,5.197101,39.46146703806871
65,30,Uttarakhand,80.5,7.6,1046.880837,34.46115288220551,13.157894736842104,10.651629072681704,2017.0,C,0.3335158317364723,13.505885573501232,0.20490623188676776,1.0789305593576055,49.240432520156524,11.372646999999999,58.27067669172932
66,31,Andaman & Nicobar Islands,87.5,15.8,1123.655914,2.9296875,4.8828125,0.0,2017.0,S,0.41265822784810124,368.5113924050633,0.04788459207176628,0.24050632911392406,38.08380619820842,0.037224,7.8125
67,32,Chandigarh,83.5,9.0,1195.075758,1.6542597187758477,9.925558312655086,2.481389578163772,2017.0,N,0.9922346850733391,188.26660914581535,10.166666666666666,3.571182053494392,38.21773229079375,2.2947849999999996,14.061207609594707
